drug_name,recall_initiation_date,reason_for_recall,status,recalled
tobramycin ophthalmic solution,20221013,CGMP Deviations:,Ongoing,1
acetaminophen child bubble gum flavored oral suspension,20211026,CGMP Deviations: Products were manufactured with contaminated excipient that was recalled from the excipient supplier.,Terminated,1
vancomycin hcl 750 mg added to 250 ml 0,20170203,Presence of particulate matter - this recall is due to a recent Hospira recall of vancomyicn hydrochloride 10gm vials due to presence of particulate matter.,Terminated,1
gabapentin capsules,20141215,Failed Capsule/Tablet Specifications: Actavis has received several complaint for clumping and breaking of capsules with some bottles showing popped out bottle bottom (round bottom) and creased labels from one distribution center.,Terminated,1
carbon dioxide,20131106,"Labeling: Not Elsewhere Classified; Due to an error in the manufacturing procedure, a cylinder in liquid withdrawal service was not marked Syphon Tube indicating liquid withdrawal and shipped as a gas withdrawal cylinder.",Terminated,1
diclazuril 10 mg,20130529,Lack of Assurance of Sterility: FDA inspection findings resulted in concerns regarding quality control processes,Ongoing,1
azacitidine for injection 100mg,20220722,Subpotent Drug - Out of specification (OOS) result obtained during monitoring stability study for Assay. Results below specification.,Terminated,1
vancomycin,20221227,Lack of sterility assurance,Completed,1
tetracaine 1,20220314,Lack of Assurance of Sterility: deviations from Current Good Manufacturing Practices (CGMP) that call into question the sterility of products intended to be sterile.,Terminated,1
4-aminopyridine active pharmaceutical ingredient packaged in varying grams or kg in bags or drums,20141114,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,Terminated,1
activator concentrate,20230809,CGMP Deviations: Products not manufactured under current good manufacturing practices.,Ongoing,1
desoximetasone ointment usp,20161114,Failed Stability Specifications; out-of specification value for homogeneity / phase separation.,Terminated,1
metoclopramide oral solution,20110119,"Labeling: Correct Labeled Product Miscart/Mispack: The shipper label displayed ""5 mL x 50,"" instead of ""10 mL x 50,""",Terminated,1
hydromorphone hcl 25 mg,20160204,Lack of Assurance of Sterility,Terminated,1
baclofen usp powder,20151109,Presence of Foreign Substance,Terminated,1
vidarbine monophosphate active pharmaceutical ingredient packaged in varying grams or kg in bags or drums,20141114,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,Terminated,1
norepinephrine bitartrate 8mg added to 5,20160420,Lack of Assurance of Sterility,Terminated,1
ethinyl estradiol active pharmaceutical ingredient packaged in varying grams or kg in bags or drums,20141114,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,Terminated,1
oxcarbazepine oral suspension,20190909,Failed Impurities/Degradation Specificattion,Terminated,1
pantoprazole sodium delayed-release tablets,20190329,Discoloration: Expansion of an earlier recall due to the presence of dark brown discoloration on the edges of the tablets.,Terminated,1
fluoxetine capsules usp,20150413,Chemical Contamination: Product recalled due to an elevated level of a residual solvent impurity in the API that exceeds the Threshold of Toxicological Concern (TTC) calculation for the impurity.,Terminated,1
dr,20180720,Microbial contamination,Terminated,1
niacin 250mg 110,20210315,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,Terminated,1
thyro-tab,20120224,Subpotent (Single Ingredient Drug): Low assay at the 6-month test interval.,Terminated,1
morphine sulfate,20150528,Lack of Assurance of Sterility: Sterility of product is not assured.,Terminated,1
argatroban injection in 0,20160617,CGMP Deviations,Terminated,1
dapsone gel 7,20241029,Crystallization,Ongoing,1
budesonide extended-release tablets,20240112,Failed Dissolution Specifications,Terminated,1
kleantouch hand sanitizer,20211206,Marketed Without an Approved NDA/ANDA: Product labeled to contain methanol making it an unapproved new drug and contains methanol,Terminated,1
glenmark ranitidine tablets usp 300 mg rx only 250 tablets manufactured by,20191217,CGMP Deviations: Presence of NDMA impurity detected in product.,Ongoing,1
dr,20180720,Microbial contamination,Terminated,1
365 skinny high intensity capsules,20210802,"Marketed Without an Approved NDA/ANDA: FDA analysis found the product to be tainted with undeclared sibutramine, a previously approved drug that was withdrawn from the US market due to safety concerns.",Terminated,1
norepinephrine 4 mg per 250 ml,20230707,Lack of Assurance of Sterility,Terminated,1
levofloxacin ophthalmic solution,20230426,CGMP Deviations: Firm went out of business and could no longer continue stability studies.,Ongoing,1
uridine-5,20141114,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.,Terminated,1
hcg 1,20150602,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,Terminated,1
paroxetine hydrochloride tablets usp,20231101,Failed Impurities/Degradation Specifications-Out of specification (OOS) results for the excipient Amadori Glucose adduct of Paroxetine,Ongoing,1
hcg lyopholized 1200 iu injectable,20180910,Lack of Assurance of Sterility,Terminated,1
hydrochlorothiazide 25mg tablets,20200727,CGMP Deviations: Light sensitive drug products repackaged in transparent/partially transparent pouches.,Terminated,1
lissamine green solution 1,20120521,Lack of Assurance of Sterility: Franck's Lab Inc. initiated a recall of all Sterile Human Drugs distributed between 11/21/2011 and 05/21/2012. FDA environmental sampling revealed the presence of microorganisms and fungal growth in the clean room where sterile products were prepared.,Terminated,1
thrombin jmi,20220413,cGMP deviations: Temperature abuse,Terminated,1
oxytocin 30 units added to 1000 ml 5,20170901,Subpotent Drug,Terminated,1
hydroxyzine hydrochloride oral solution,20120706,Impurities/Degradation Products: High Out of Specification results for a known impurity resulted at the 12-month room temperature time point.,Terminated,1
hydromorphone 30 mg,20150602,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,Terminated,1
valsartan and hydrochlorothiazide tablets,20181204,"GCMP Deviations: FDA analysis confirmed presence of trace amounts of an impurity, N-nitrosodiethylamine (NDEA) found in the API used to manufacture the product.",Ongoing,1
vancomycin hcl 1,20170203,Presence of particulate matter - this recall is due to a recent Hospira recall of vancomyicn hydrochloride 10gm vials due to presence of particulate matter.,Terminated,1
ossos-sans reforzado con,20240522,"Marketed Without An Approved NDA/ANDA: FDA laboratory analysis found the product to contain undeclared diclofenac and methocarbamol,",Ongoing,1
ventolin hfa,20120726,Does Not Deliver Proper Metered Dose: Potential content of albuterol per dose is below specification.,Terminated,1
extended phenytoin sodium capsules,20230530,Failed Dissolution Specifications: Out-of-specification results for dissolution (above specification),Completed,1
tootsie roll fruit chews lime scented antibacterial hand gel,20190401,CGMP deviations: Stability testing was not conducted on manufactured sunscreen and hand sanitizer OTC products.,Terminated,1
native remedies varicogo oral spray,20181003,Microbial Contamination of Non-Sterile Products,Terminated,1
fluocinonide cream ups,20170317,Cross contamination with other products: Certain lots of Fluocinonide Cream were found to be contaminated with a small quantity of hydrocortisone-17-valerate.,Terminated,1
trimix papaverine,20180910,Lack of Assurance of Sterility,Terminated,1
herpes-g,20200324,CGMP Deviations: These products have been found to be misbranded as unapproved new drugs,Terminated,1
epinephrine 1,20130823,Lack of Assurance of Sterility: The product lots are being recalled due to laboratory results (from a contract lab) indicating microbial contamination. The FDA was concerned test results obtained from the recalling firm's contract testing lab may not be reliable. Hence the sterility of the products cannot be assured.,Terminated,1
milrinone lactate injection 200 mcg,20190709,Lack of Assurance of Sterility: Bags have the potential to leak.,Terminated,1
methion,20221222,Lack of Assurance of Sterility: FDA inspection revealed insanitary conditions at the facility.,Terminated,1
morphine 60 mg,20150602,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,Terminated,1
c-albumin 5,20190724,Lack of Assurance of Sterility: product sterility cannot be guaranteed.,Terminated,1
gleevec 100 mg tablet ndc 00078-0401-34 30 days supply,20180403,Lack of Processing Controls.,Terminated,1
pantoprazole sodium delayed-release tablets usp,20160803,Presence of Foreign Tablets/Capsules: Firm received a market complaint stating the presence of one foreign tablet (Montelukast Sodium Chewable Tab 4mg) in the product bottle of Pantoprazole.,Terminated,1
ketamine 100 mg,20130529,Lack of Assurance of Sterility: FDA inspection findings resulted in concerns regarding quality control processes,Ongoing,1
