drug_name,serious,seriousnessdeath,num_reactions
lunesta,1,0,7.0
lupron,2,0,3.0
lupron depot,2,1,1.0
lutera,1,0,3.0
luvox,2,0,4.0
lyrica,31,0,3.9473684210526314
mabthera,1,0,3.0
macrogol,1,1,3.0
madopar,1,0,10.0
mag-tab,1,0,2.0
magnesium,3,0,8.666666666666666
magnesium  supplement                        /00123201/,2,0,2.0
magnevist,33,0,1.0
malarone,1,0,2.0
marcumar,2,0,2.0
marevan,1,0,6.0
maxolon,3,0,7.0
mefoxin,1,0,5.0
menest                             /00073001/,2,0,2.0
meropenem,3,0,7.5
mesalazine,1,0,4.0
metformin,23,2,4.0
metformin hcl,2,0,5.0
metgluco,1,0,4.0
methadone,2,0,2.0
methocarbamol,1,0,3.0
methotrexate,13,2,4.0
methylprednisolone,4,1,3.5
methylprednisolone acetate,2,0,2.0
metildigoxin,1,0,1.0
meto tablinen,1,0,1.0
metoclopramide,2,2,2.0
metoprolol,14,0,3.2222222222222223
metoprolol                         /00376902/,1,0,2.0
metoprolol succinate,2,0,1.0
metoprolol tartrate,4,0,6.0
metoprolol.,3,0,3.0
metotressato teva,1,0,1.0
metronidazole,8,0,5.571428571428571
metronidazole (unknown),1,0,1.0
miacalcin,2,0,1.0
micamlo,1,0,4.0
micropakine,1,0,2.0
midazolam,2,0,3.0
minocycline,2,0,1.0
miralax,1,0,1.0
mirapex,2,0,5.0
mirena,26,0,3.9047619047619047
mirtazapin,1,0,2.0
mirtazapine,2,0,3.0
mirtazapine (unknown),1,0,5.0
mirtazapine.,1,0,2.0
mizoribine,1,1,7.0
mln9708,1,0,3.0
monotildiem lp,1,0,2.0
morphine,1,0,2.0
morphine sulfate (similar to nda 19-516),1,0,3.0
morphine sulfate extended-release tablets (rhodes 74-862),1,0,3.0
movicolon,1,0,1.0
moxonidine,1,0,6.0
mucinex,1,0,2.0
mucomystendo,1,0,2.0
multi-vit,1,0,6.0
multibionta drops,1,0,7.0
multihance,2,0,1.0
multiple vitamin with minerals,1,0,12.0
multivitamin,4,0,6.5
multivitamin                       /00097801/,10,0,3.2
multivitamins,9,0,3.0
mvi,1,0,17.0
mycophenolate mofetil,1,0,4.0
myfortic,2,1,3.5
nasacort allergy,1,0,2.0
nasal drops with sodium chloride,1,0,7.0
nasonex,6,0,5.6
nebivololo,1,0,13.0
nedal,1,0,1.0
neo-mercazole,1,0,1.0
neoral,2,2,5.0
neulasta,5,0,1.0
neupro,1,0,4.0
neurontin,7,1,6.5
nexium,4,0,4.0
nexium                             /01479302/,3,0,1.5
nexplanon,18,0,1.8888888888888888
niacin,4,0,1.5
niaspan,2,0,1.0
nicotine,4,0,1.0
nicotine.,1,0,5.0
nitro stat,1,0,2.0
nodoz,1,0,11.0
norco,2,0,9.0
noritren,1,0,13.0
nortriptyline,2,0,1.0
norvasc,7,0,5.0
novolog,2,0,1.0
novorapid,1,0,2.0
nozinan,1,0,19.0
nuvaring,4,0,2.0
nuvigil,2,0,1.0
nystatin,1,0,14.0
ofatumumab,2,0,2.0
oki,1,0,3.0
olanzapine,4,0,5.5
oleovit d3,1,0,7.0
omega                              /01454401/,1,0,15.0
omega 3                            /01334101/,2,0,6.0
omega 3-6-9,1,0,1.0
omeprazen,3,0,2.0
omeprazol,1,0,1.0
omeprazole,29,3,5.15
omeprazole dr,2,0,1.0
omeprazole.,4,0,4.5
omniscan,22,6,1.0
oncovin,1,0,3.0
one a day multivitamin,1,0,1.0
onfi,14,1,3.8
onfi (oral suspension),2,0,1.0
optimark,1,0,1.0
optiray 320,1,0,1.0
ossicodone,2,0,13.0
otc diuretic,2,0,7.0
oxaliplatin,2,0,3.0
oxaliplatin teva 5mg/ml,1,0,5.0
oxascand,1,0,19.0
oxybutynin,2,0,4.5
oxycodone,6,1,3.8
oxycontin,6,1,2.25
oxygen,2,0,2.0
oxygen.,10,0,2.6
oxytrol for women,16,0,1.875
paclitaxel,4,1,4.25
pamelor,2,0,3.0
pantoprazole,6,0,4.166666666666667
pantozol                           /01263204/,1,0,2.0
pantozole,1,0,1.0
paracetamol,4,0,4.75
paracetamolo,2,0,13.0
paragard 380a,5,0,2.25
pargitan,1,0,19.0
paroxetine,5,0,5.0
paxil,3,0,9.0
pegasys,4,0,3.0
peginterferon alfa-2b,2,0,7.0
pegintron,2,0,6.0
pencillin,1,1,3.0
pentasa,1,0,12.0
pentassa,1,0,7.0
perazine,1,0,3.0
percocet,3,0,3.0
perforomist,1,0,6.0
phenergan,1,0,2.0
phenergan                          /00033001/,2,0,5.0
phenobarbital,2,1,3.5
phillips^ milk of magnesia liquid original,1,0,3.0
phytonadione.,1,0,1.0
pivalone,1,0,2.0
plan b one-step,12,0,1.5
plaquenil,2,0,3.5
plavix,9,0,3.6666666666666665
pletal,1,0,1.0
polaramine,2,0,2.0
polocard,1,0,1.0
posaconazole,1,0,7.0
potassium,4,0,1.0
potassium chloride,1,0,2.0
potassium chloride 0.4meq/ml,2,0,3.0
potassium chloride.,5,0,5.0
pradaxa,14,0,2.2
pramipexole,1,0,3.0
pravastatin,7,0,3.6
pravator,1,0,1.0
prednisolon,1,0,1.0
prednisolone,10,4,4.7
prednisolone.,4,0,5.25
prednisone,16,2,3.066666666666667
prednisone /00044702/,1,0,2.0
prednisone.,3,0,2.0
premarin,5,0,6.0
prenatal vitamins,1,0,13.0
preservision lutein,2,0,1.0
prevacid,1,0,1.0
previscan,2,0,2.0
prilosec,5,0,3.0
prilosec                           /00661201/,2,0,2.0
primaquine,2,0,1.0
primidone,2,0,1.0
prinivil,2,0,1.0
pristiq,10,0,3.4
pristiq extended release,2,0,1.0
proair hfa,2,0,3.0
probiotics,2,0,2.0
procardia,2,0,1.0
procardia                          /00340701/,2,0,1.0
procrit,2,0,3.0
procrit                            /00909301/,2,0,2.0
prograf,1,1,1.0
prohance,1,0,1.0
prolia,3,0,2.0
promethazine,2,0,1.0
propanolol,2,0,11.0
propavan,1,0,19.0
propecia,2,0,15.0
propofol,1,1,5.0
propoxyphene napsylate w/acetaminophene,1,0,8.0
propranolol,3,0,1.5
proscar,2,0,3.0
protonix,3,0,1.5
proventil,3,0,3.5
prozac,8,0,7.666666666666667
pyostacine,1,0,2.0
pyridoxine,1,1,5.0
quetiapine,1,0,3.0
quetiapine (unknown),1,0,1.0
qvar,2,0,3.0
ramipril,6,0,3.0
ramipril.,2,0,1.5
ranexa,3,0,3.5
ranitidine,6,0,8.6
ranitidine                         /00550802/,2,0,3.0
ranolazine,1,1,1.0
rapamune,1,0,12.0
rasilez,1,0,2.0
rebif,5,0,15.2
reglan,1,0,7.0
reglan                             /00041901/,2,0,1.0
relpax,2,0,2.5
remergil,1,0,2.0
remeron,4,0,3.0
remodulin,15,0,2.875
reopro,1,0,9.0
restasis,1,0,15.0
revatio,20,0,3.0
revlimid,14,5,3.230769230769231
ribapak,2,0,6.0
ribavirin,8,0,3.0
risperdal,7,0,1.5
risperidone,1,0,12.0
ritonavir,1,0,2.0
rituximab,14,13,1.1428571428571428
rivaroxaban,1,0,4.0
roactemra,2,0,1.0
rocuronium bromide,1,0,2.0
ropinirole,1,0,3.0
ropinirole.,1,0,15.0
rosuvastatin,1,0,4.0
sabril,2,0,2.0
sabril (for oral solution),6,1,2.5
salobel,1,0,4.0
samsca,1,0,1.0
sandostatin,1,1,10.0
sandostatin lar,3,3,1.3333333333333333
sandostatin lar depot,11,1,7.545454545454546
sea kelp,1,0,1.0
selara,2,0,2.0
selozok,1,0,1.0
seroquel,12,0,6.142857142857143
seroquel xr,30,0,10.533333333333333
sertraline,4,1,2.5
"sevoflurane, usp",1,0,1.0
sildenafil,2,0,3.0
sildenafil citrate,2,0,2.0
sildenafil.,4,0,1.5
simulect,2,2,1.0
simvastatin,17,0,2.3636363636363638
simvastatin-1a pharma,1,0,1.0
simvastatin.,2,0,13.5
sinemet,1,0,10.0
singulair,3,0,1.5
sinvastacor,1,0,5.0
sivastin,1,0,1.0
slimquick,2,0,2.0
slow mag                           /07370001/,1,0,15.0
slow release iron,1,0,1.0
smecta,1,0,1.0
sobril,2,0,10.0
sodium valproate (unknown),1,0,1.0
solaraze,2,0,3.0
soliris,5,0,7.4
solumedrol,1,1,4.0
sotalol.,2,0,3.0
spiriva,32,0,2.3529411764705883
spironolacton,1,0,1.0
spironolactone,8,1,5.0
stelara,4,0,1.0
sterile water for injection,2,0,3.0
stesolid,1,0,19.0
succinylcholine,1,0,1.0
succinylcholine bromide,1,0,2.0
sucralfate,2,0,2.0
sulfasalazine.,1,0,2.0
sulpiride,1,0,3.0
sumatriptan,1,0,4.0
sumatriptan succinate,1,0,1.0
sunitinib malate,1,0,1.0
super  omega- 3,1,0,2.0
sutent,1,1,2.0
symbicort,2,0,4.0
synagis,1,0,7.0
synthroid,18,0,3.4
tachipirina,1,0,3.0
tacrolimus,1,0,1.0
tacrolimus (watson laboratories),1,0,3.0
tacrolimus.,1,0,12.0
tahor,1,0,2.0
takepron,1,0,2.0
talwin,2,0,1.0
tamsulosin,3,0,1.5
tamsulosin hydrochloride,1,0,4.0
tasigna,3,2,2.0
tavegil,1,0,1.0
tegretol,12,0,7.777777777777778
telaprevir,1,0,1.0
telmisartan.,1,0,3.0
temazepam,1,0,2.0
temesta [lorazepam],1,0,1.0
temodal,1,1,1.0
terazosabb,1,0,6.0
terazosin,3,0,3.0
thalidomide,1,1,1.0
theophylline,1,0,1.0
theraflu extragrip,1,0,2.0
theralen,1,0,19.0
