drug_name,boxed_warning,contraindications_len,indications_len,manufacturer
ammonium bromatum,0,0,0,"Hahnemann Laboratories, INC."
,0,11,365,Unknown
,0,0,10,Unknown
"avobenzone,homosalate,octisalate,octocrylene",0,0,31,YB CHEMIA LLC
ammonium carbonicum,0,0,0,"Hahnemann Laboratories, INC."
"polyethylene glycol 400, propylene glycol",0,0,15,Strategic Sourcing Services LLC
,0,0,24,Unknown
"betula (pendula) cortex, caltha palustris, galium aparine, thuja occidentalis, urtica urens, clematis erecta, hedera helix, juniperus communis, quillaja saponaria, sempervivum tectorum, echinacea (angustifolia), argentum metallicum, calcarea fluorica, nitricum acidum, sedum acre, phosphorus, apis mellifica, pyrogenium, ononis spinosa",0,0,43,"Deseret Biologicals, Inc."
,0,0,10,Unknown
,0,2,114,Unknown
,1,85,87,Unknown
"menthol, methyl salicylate",0,0,18,The Mentholatum Company
,1,1,570,Unknown
,0,0,19,Unknown
,0,0,29,Unknown
omeprazole,0,0,29,Chain Drug Marketing Association INC
aspirin,0,0,48,"P & L Development, LLC"
,0,0,21,Unknown
,0,0,8,Unknown
,0,0,125,Unknown
,0,0,26,Unknown
,0,0,47,Unknown
,1,96,111,Unknown
,0,0,18,Unknown
"octocrylene, octisalate, and avobenzone",0,0,30,"Tropical Seas, Inc."
oseltamivir phosphate,0,70,298,"Lannett Company, Inc."
doxylamine succinate,0,0,8,"United Natural Foods, Inc. dba UNFI"
,0,20,87,Unknown
,0,0,22,Unknown
white petrolatum,0,0,31,Strategic Sourcing Services LLC
acetaminophen,0,0,28,VALU MERCHANDISERS COMPANY
,0,0,17,Unknown
lamivudine and zidovudine,1,37,60,Bryant Ranch Prepack
pediculicide,0,0,19,Alliance Pharma Inc.
,0,0,46,Unknown
,1,60,34,Unknown
,0,0,10,Unknown
,0,0,26,Unknown
,0,28,105,Unknown
prednisone,0,9,370,A-S Medication Solutions
atropine sulfate,0,3,41,"HF Acquisition Co LLC, DBA HealthFirst"
,0,0,17,Unknown
,1,144,69,Unknown
,1,43,478,Unknown
,0,0,20,Unknown
potassium chloride,0,19,74,"Epic Pharma, LLC"
,0,0,34,Unknown
,0,0,33,Unknown
omeprazole,0,139,553,"Golden State Medical Supply, Inc."
cromolyn sodium,0,14,36,Meda Pharmaceuticals Inc.
duloxetine hydrochloride,1,153,135,"Golden State Medical Supply, Inc."
prednisone,0,14,364,Bryant Ranch Prepack
tranexamic acid,0,109,76,"Avenacy, Inc."
,0,0,44,Unknown
doxorubicin hydrochloride,1,123,190,Pfizer Laboratories Div Pfizer Inc
palonosetron hydrochloride,0,34,275,"Avenacy, Inc."
sodium fluoride,0,0,5,Colgate-Palmolive Company
ammonium causticum,0,0,0,"Hahnemann Laboratories, INC."
"menthol, white petrolatum, zinc oxide",0,0,77,"Medline Industries, LP"
ibuprofen,0,0,26,CVS Pharmacy
levonorgestrel and ethinyl estradiol,1,322,50,Aurobindo Pharma Limited
,0,0,6,Unknown
,0,13,58,Unknown
,0,0,5,Unknown
,0,0,14,Unknown
amitriptyline hydrochloride,1,124,23,A-S Medication Solutions
ammonium muriaticum,0,0,0,"Hahnemann Laboratories, INC."
,0,16,239,Unknown
